Mean latency: 8.638998, p99: 31.880400, thruput: 123.756717
Mean latency: 8.276143, p99: 27.768390, thruput: 124.533736
Mean latency: 8.557637, p99: 27.875710, thruput: 125.921982
Mean latency: 8.278618, p99: 25.321740, thruput: 124.139807
Mean latency: 8.519415, p99: 29.979680, thruput: 125.127300
Mean latency: 8.193403, p99: 28.232260, thruput: 126.484813
Mean latency: 8.401201, p99: 28.506460, thruput: 125.316542
Mean latency: 8.542784, p99: 30.407000, thruput: 124.191948
Mean latency: 8.147974, p99: 31.933200, thruput: 127.129288
Mean latency: 8.346976, p99: 30.010890, thruput: 126.785835
Mean latency: 8.225124, p99: 27.640120, thruput: 125.725172
Mean latency: 8.521670, p99: 29.005400, thruput: 122.295561
Mean latency: 8.454769, p99: 27.647760, thruput: 124.791855
Mean latency: 8.224773, p99: 26.583390, thruput: 124.474728
Mean latency: 8.184660, p99: 25.796680, thruput: 125.514125
Mean latency: 8.306080, p99: 27.278860, thruput: 125.803337
Mean latency: 8.201269, p99: 29.516460, thruput: 125.844189
Mean latency: 8.391392, p99: 29.564680, thruput: 126.775789
Mean latency: 8.528810, p99: 30.515710, thruput: 126.328070
Mean latency: 8.681867, p99: 28.965200, thruput: 124.521186
Mean latency: 8.505639, p99: 31.384200, thruput: 126.542101
Mean latency: 8.156987, p99: 26.075200, thruput: 126.392530
Mean latency: 8.601677, p99: 31.424610, thruput: 124.807471
Mean latency: 8.208150, p99: 26.655360, thruput: 125.824794
Mean latency: 8.249732, p99: 30.639160, thruput: 125.261616
Mean latency: 8.102174, p99: 27.982240, thruput: 126.123325
Mean latency: 8.558633, p99: 26.293440, thruput: 125.445621
Mean latency: 8.122786, p99: 26.058230, thruput: 126.104307
Mean latency: 8.420150, p99: 27.594950, thruput: 123.536226
Mean latency: 8.560983, p99: 31.783540, thruput: 125.263918
Mean latency: 8.531708, p99: 35.683060, thruput: 125.731413
Mean latency: 8.260288, p99: 26.659360, thruput: 126.443168
Mean latency: 8.334867, p99: 27.064360, thruput: 123.809478
Mean latency: 8.451799, p99: 31.178420, thruput: 125.367596
Mean latency: 8.716049, p99: 29.193440, thruput: 123.299877
