Mean latency: 4.467613, p99: 15.540500, thruput: 147.532550
Mean latency: 4.688673, p99: 16.590000, thruput: 148.720092
Mean latency: 4.535911, p99: 16.007560, thruput: 147.137444
Mean latency: 4.474497, p99: 15.914650, thruput: 147.588881
Mean latency: 4.486790, p99: 15.211240, thruput: 146.534449
Mean latency: 4.517559, p99: 15.363430, thruput: 147.671923
Mean latency: 4.725811, p99: 16.774460, thruput: 147.682398
Mean latency: 4.621065, p99: 15.912160, thruput: 147.592169
Mean latency: 4.691275, p99: 15.766240, thruput: 147.256181
Mean latency: 4.781946, p99: 16.514770, thruput: 148.055750
Mean latency: 4.627430, p99: 16.310020, thruput: 146.946092
Mean latency: 4.626315, p99: 14.737400, thruput: 147.010462
Mean latency: 4.701492, p99: 16.055470, thruput: 146.845229
Mean latency: 4.727081, p99: 15.238960, thruput: 146.922798
Mean latency: 4.727815, p99: 14.963540, thruput: 146.840408
Mean latency: 4.706045, p99: 16.434720, thruput: 145.970331
Mean latency: 4.629638, p99: 16.057780, thruput: 146.031494
Mean latency: 4.705926, p99: 16.864130, thruput: 145.739685
Mean latency: 4.807970, p99: 16.297870, thruput: 145.518987
Mean latency: 4.807918, p99: 16.579620, thruput: 144.817470
